3938 3948
1790 2543 12
3305 325 9
3340 1978 19
737 328 9
2240 3156 17
3179 21 9
873 2383 20
110 3200 12
864 2284 10
791 270 16
3282 3699 11
302 2775 16
3441 181 14
602 2793 20
3734 1914 6
1422 3009 6
1343 3165 19
2209 3195 18
615 927 13
2031 2636 8
308 1088 18
1953 2219 11
3248 2526 14
3023 1834 15
3324 1822 15
619 778 5
3733 683 6
440 2844 6
3672 3062 15
3134 3087 9
1862 2245 19
215 515 7
2448 2735 6
3476 274 9
1535 2789 10
2851 2190 9
1873 2377 5
1285 1309 10
1023 323 8
3427 677 19
1685 2971 12
2456 2790 20
2599 1752 11
1461 60 13
487 1447 17
975 3675 15
3519 806 12
1749 3887 12
1103 3807 18
3790 2827 9
3740 1659 6
1770 1889 15
3662 2211 9
3445 642 10
1591 2372 6
1243 2034 11
580 3589 8
671 3671 7
867 42 20
3754 544 7
2251 308 22
3462 2200 16
2579 470 18
1317 2150 6
1105 3816 12
1474 676 15
2680 3079 18
2899 669 16
3411 2001 9
1437 3421 14
1565 2898 15
2459 2728 13
2535 73 13
3558 2978 18
3182 836 8
82 1070 11
910 1037 14
2170 3566 17
3492 3346 15
898 70 11
1021 1054 18
1534 3521 16
3117 2737 11
428 2326 16
621 532 19
3438 3256 7
1708 1871 6
1962 741 19
2264 104 16
1067 2660 10
1821 2936 19
612 3766 10
3382 3155 11
2401 2310 19
3803 1249 10
623 1412 6
3640 3681 12
3818 3351 14
1011 1364 5
424 3495 18
4 2453 15
3096 3336 14
1446 68 16
1779 2792 12
2191 1750 13
3184 166 5
3514 3456 19
2289 1578 8
1815 1339 20
687 2996 6
1593 1979 14
3851 2374 14
289 1501 16
3012 1494 16
2870 138 15
3691 145 9
1617 1438 14
70 277 13
2782 635 14
1200 1925 8
3245 2841 30
1085 2423 13
3097 1179 15
2684 25 16
3934 2927 15
827 2367 16
2880 2597 16
3732 1780 6
1181 98 16
3590 873 19
1139 764 7
1670 1395 12
1266 603 8
847 3233 20
1786 2352 11
101 3127 5
412 1267 12
489 924 20
2759 1332 6
2027 570 15
924 318 8
2428 1584 10
3146 890 20
1334 2181 15
1408 3702 8
773 950 5
2360 2970 14
3168 1627 17
2490 2136 17
3419 2592 12
207 2520 7
1398 514 10
1954 1397 9
1054 1355 6
1950 3888 14
3348 16 19
3021 1812 7
1389 1091 14
3559 453 14
1078 2102 14
2865 3242 10
1369 1736 7
2704 1628 17
2574 144 20
3915 2496 17
478 1020 19
925 401 5
3928 2012 15
3563 2678 15
3412 975 20
122 2614 13
3826 3106 11
200 2446 11
862 3872 15
3823 579 17
3770 628 16
3758 1418 15
772 694 15
3925 441 8
2373 3558 12
3044 3598 16
1604 1356 8
468 2779 18
1830 2874 8
3014 3276 18
3299 3133 12
1611 808 15
185 1215 17
2909 2894 11
3870 3509 18
318 3832 17
2886 1448 12
2126 3828 8
1237 860 20
3041 798 8
1880 3268 5
2762 110 15
3357 284 12
3396 468 18
555 3348 18
2646 200 15
366 3013 10
212 1656 19
269 3546 5
1115 3716 6
1626 2605 8
1096 2548 6
2795 1689 8
759 2028 14
879 932 16
2601 1848 10
3898 2659 7
2484 1194 18
1421 1173 14
2118 2590 6
1045 599 14
2008 2663 17
882 813 9
1587 576 14
3409 1966 17
360 3715 20
1762 1946 15
2107 1293 20
1506 2146 11
3245 3874 12
1008 3842 18
595 2350 17
589 510 12
326 1158 14
1488 395 12
3426 2032 15
2347 1926 13
622 1373 7
3338 65 19
3600 957 19
1175 3011 15
801 3093 20
2055 3435 18
3177 1273 5
3099 2591 11
1196 3186 20
1099 2395 7
977 3306 9
3121 985 6
1156 1137 6
430 1487 15
3007 348 7
133 85 15
3439 2523 20
66 904 9
2295 59 20
2678 1980 13
1123 1430 17
1232 3361 8
2987 1602 14
908 86 11
1137 3906 18
1016 3824 11
590 3843 6
3379 3917 10
1199 3198 19
987 1998 5
3717 1537 6
109 1858 14
1304 894 19
2377 245 10
2820 1672 20
1879 3484 16
2019 2160 14
2766 3206 7
183 1051 12
3835 154 6
688 2257 7
251 731 6
2494 3237 7
2735 3458 9
3608 3783 8
3187 3850 8
1236 2589 5
2493 240 16
1504 3514 10
3918 471 7
3788 3764 47
2184 218 13
2208 3409 14
1673 194 13
137 2508 9
1203 3174 7
3755 3710 13
3304 2911 11
2194 2937 16
2024 3508 14
129 592 5
2006 996 11
1169 3142 16
786 442 8
2038 2420 19
1657 2435 12
3237 529 10
1341 272 5
1047 507 9
1705 3324 20
3244 3531 12
1319 1958 14
2223 2157 5
2330 2621 10
3723 3368 10
2610 1220 16
155 38 12
1300 3221 13
1496 1809 18
2956 1235 7
778 3515 15
1238 3134 9
2259 1792 8
244 2686 6
1863 2382 20
941 196 12
1413 519 16
1060 2373 18
222 2481 19
2485 1043 10
734 486 19
519 3292 12
1723 1252 5
1552 743 9
1098 282 9
350 3019 10
54 253 8
669 3129 12
2977 1456 10
1510 1787 18
2235 3253 19
3567 2993 12
1768 2838 17
3644 1841 20
3026 67 6
1261 183 5
1051 228 17
2145 661 7
3463 787 12
2604 783 19
3123 2818 20
700 3001 19
21 801 20
2139 1038 6
1980 678 9
2860 3303 11
3022 149 14
3119 1174 5
1207 1938 19
2004 1100 11
765 1318 7
3038 2542 20
438 2828 16
3169 645 5
2636 3419 16
1751 3520 10
3443 1676 14
2596 1121 11
3029 3281 16
1466 1511 6
976 1384 5
3806 262 16
2451 609 11
1812 1695 18
79 2763 9
2497 3657 12
3150 2477 9
3726 3829 7
1914 2938 8
1537 2149 19
3707 2867 6
3326 1230 14
145 1055 19
3842 142 18
317 3914 8
3100 3860 5
3378 2222 8
1373 1172 6
2146 1062 20
969 3463 16
3495 1162 8
2480 3525 14
2393 614 18
1340 2396 6
493 1390 6
418 2738 19
1590 3104 16
531 1343 17
3220 1568 17
1142 2684 18
49 3854 12
1350 2125 6
1295 1185 11
3270 3311 6
3909 802 16
3751 2074 16
2463 2930 10
3693 1915 20
1934 3395 15
83 3747 17
490 1446 18
3269 3501 13
2327 3723 5
1661 3407 12
1475 3591 5
1242 1678 7
3592 1399 6
2693 992 14
147 3179 5
1900 1392 7
3371 99 20
950 3455 17
1447 3616 14
1053 3777 17
1332 3350 20
548 360 8
1776 3574 15
1736 3196 20
885 1559 9
1848 2315 15
2343 2554 9
1423 3562 13
3483 726 16
1256 292 17
3581 2680 14
845 3592 8
1240 1471 7
783 1377 16
1271 1316 10
1782 1852 5
840 2968 18
2174 1036 20
1131 2690 6
1713 1346 17
2872 995 11
3901 3243 9
2013 2171 16
1050 278 6
568 2468 8
2700 1014 13
3490 3026 18
3084 80 15
2943 567 12
3288 1760 15
692 3581 5
954 455 18
359 3884 7
419 1588 9
2097 1564 10
3140 2155 7
39 2750 13
333 3683 12
2717 604 15
707 1331 8
584 2267 18
1817 2896 11
3545 1294 13
3636 2325 5
1933 1657 14
160 1518 6
198 3512 9
84 2700 12
844 2581 16
2726 1072 16
738 2860 9
363 3141 17
2221 3193 7
1949 1361 17
3058 1526 16
2786 3647 11
2750 2452 13
2200 630 15
2425 2705 12
1989 327 11
1178 2850 16
3808 3926 12
2794 1129 5
677 1985 14
1860 3785 8
1503 1888 20
860 884 8
2466 1580 9
3410 3383 5
3236 2197 16
1384 76 15
3440 875 5
675 3696 10
672 3670 17
3580 11 5
3774 3487 19
276 289 15
1584 3131 6
2220 2050 12
1216 3049 12
856 3578 7
1769 1742 13
15 643 10
868 3070 11
504 1768 17
3183 3211 8
1522 386 6
1429 82 5
3522 3266 20
1394 2233 8
3694 3704 8
1310 2531 10
7 400 16
3859 1118 13
2365 1923 9
85 2934 7
1881 1594 19
1816 3404 15
3747 3928 8
886 605 9
3319 1830 16
2236 203 13
1573 3867 8
238 3601 5
768 654 9
2065 3061 11
2562 248 14
2605 906 20
1483 2528 13
2874 3491 19
1415 3864 6
1436 3150 11
3289 1593 7
3736 1632 18
2867 3283 16
1289 2129 13
1663 3717 6
2251 1026 14
1649 3330 16
2323 216 19
3520 1155 12
2338 855 9
150 821 13
2117 862 20
1000 3278 19
1892 3673 9
3687 2717 10
2437 212 8
2816 1096 19
1814 1881 19
1141 3204 17
1451 1044 62899
1246 2637 6
1068 2297 12
3342 2286 6
36 1065 14
2885 1625 11
696 2071 6
386 3360 20
193 558 15
2789 2015 5
3122 1899 7
389 1271 8
3067 2328 10
1720 2217 18
2988 3661 16
47 63 16
3234 3033 6
663 702 19
2103 1541 7
3024 1433 16
3306 3649 14
3111 3400 13
2022 2510 16
1014 1727 17
2839 867 9
3820 3148 8
1041 1258 8
2690 696 13
2849 2598 15
1025 1228 11
3638 1702 13
1922 1223 17
3846 1119 17
159 1388 18
1134 1592 6
1241 1255 10
1582 2762 7
1094 590 17
254 3452 5
3141 1385 18
2996 616 6
2043 3036 7
1909 454 16
2 3032 18
1395 1369 7
2255 167 5
686 2118 15
393 1539 18
549 2666 10
3156 1465 5
2523 1729 7
1771 1748 8
3048 260 19
3188 757 16
578 3865 12
2336 46 12
822 1847 16
1634 2861 8
2662 2619 8
3224 2116 8
960 2083 11
3009 2091 5
2228 3274 17
1898 1690 15
3281 3821 11
1548 641 19
942 3137 16
232 3530 5
3586 2776 5
1070 3695 11
2312 281 11
3469 1102 14
3162 2261 16
3278 1105 9
933 692 5
3435 1468 7
3745 1033 16
219 2837 17
1279 1557 11
2963 1451 17
457 2147 13
3659 1300 16
1924 390 14
1647 1191 18
1668 3362 15
1827 1872 9
2489 3476 16
3073 3720 18
291 488 8
3575 3475 6
448 2013 19
3892 2620 5
367 1321 13
459 2870 11
3454 3461 18
2290 3737 8
3768 1710 15
3589 3868 10
2936 1319 11
27 788 5
3523 2811 6
3271 615 19
3004 162 9
1906 2532 20
3202 1665 16
1614 984 20
3403 822 17
371 3170 8
3923 3426 19
943 2464 14
1442 3835 15
1889 979 20
3418 2820 16
984 306 7
120 3109 17
2092 190 16
2311 1147 9
434 1057 14
1360 1428 20
3609 467 20
2363 849 5
1336 843 13
3603 3534 7
1699 1799 12
712 3631 20
188 1004 8
1875 2393 16
22 3329 7
470 1687 6
2047 430 14
3205 1928 8
3449 632 9
1837 2781 12
1687 2144 5
2761 2152 19
858 3378 19
3114 3735 15
3780 853 86510
2845 3117 19
2951 1270 8
1777 2249 13
2086 397 7
2965 842 17
2026 2255 12
287 1771 13
558 953 17
2009 1765 8
56 2133 9
3235 1942 5
1844 3494 10
817 2035 19
3428 179 6
3070 2923 19
510 1262 12
3473 3099 16
2462 1951 6
353 3388 8
409 1440 19
1478 1919 9
1850 1927 12
307 3095 13
224 2570 19
2894 851 12
2553 2823 11
955 2812 18
2928 852 10
609 2931 20
3275 2447 15
1865 77 6
2477 1161 5
358 3927 8
3607 1684 7
3332 1066 11
849 2742 9
683 1962 11
1792 2331 7
255 1905 16
3194 3162 15
3381 2165 7
1566 2314 6
2889 2043 9
2807 3911 14
536 2047 14
3896 893 6
3061 2868 6
1721 187 15
3349 3345 16
962 776 12
2663 3890 9
961 2192 17
2324 371 18
157 3799 11
909 3659 16
3917 1595 20
136 861 6
2226 35 12
1692 1833 17
1536 1008 14
1144 1394 12
3515 3453 7
2457 1686 18
3327 2247 5
3083 2611 15
1298 146 8
730 1903 11
432 2661 20
1719 650 17
2434 2891 7
3593 3132 5
927 2318 5
2381 2889 6
2475 1042 12
176 3636 9
2681 1651 10
1585 1725 17
3719 2312 14
68 1675 11
820 1049 20
1788 2800 13
1500 838 5
1995 2872 11
2278 928 17
248 2561 7
959 2229 13
1550 2942 12
1636 907 15
586 463 6
3339 3082 5
1101 317 18
3329 2664 10
3660 2106 16
2617 2080 12
3664 2866 18
2082 2088 7
1120 2564 14
158 3464 16
423 1045 17
1368 2530 10
304 2198 18
1727 1935 13
1572 2425 9
3837 2907 7
1775 1295 6
2855 128 13
544 3612 9
2818 174 10
407 2925 18
3256 3128 5
1114 112 19
1806 1507 12
1081 2060 6
3432 1508 13
267 2164 18
233 3229 18
3888 3343 13
3242 3172 8
3822 3712 13
562 2629 5
3309 1234 6
2544 233 11
2970 3839 13
2733 1567 18
570 3528 10
3124 1357 15
2294 3333 16
3229 2018 5
1525 24 15
3682 913 12
2737 3424 16
1795 78 6
2888 2142 7
1735 1703 17
2495 2428 10
2351 2732 12
1363 3438 20
202 2399 13
1766 2103 10
2074 1637 5
2843 3650 6
3206 2608 16
3655 3593 5
42 962 15
1366 584 15
195 847 12
997 3571 9
2836 428 7
3408 553 10
883 723 20
3626 3834 11
916 2685 13
1546 2856 17
2188 3220 20
2589 3246 5
2600 3048 12
1121 1232 18
3077 1157 9
2716 1877 16
1785 3285 19
3218 3875 14
1867 54 5
1460 636 20
1391 2269 19
3632 2258 10
3066 3490 16
1190 3627 7
116 2097 15
920 3451 20
2598 2799 7
1570 334 8
931 2743 20
2213 2240 18
604 2892 15
2198 290 20
641 1342 11
203 1862 14
2771 2357 5
1357 1227 16
655 1623 10
1492 793 20
2635 2343 11
1742 2514 13
996 2576 8
111 2863 14
3891 380 6
3010 1101 6
3622 3891 17
2317 2887 58616
2361 2259 12
485 2408 12
3176 1024 17
2904 481 13
2802 3526 20
2096 475 5
3413 3619 17
2738 3522 13
3878 1589 15
3753 3454 18
1201 2953 11
1936 1638 20
2460 3120 5
240 695 14
3125 2842 66423
3405 1279 9
3386 541 19
2349 2747 9
2099 1989 6
3030 550 12
1150 1442 19
416 2351 8
2891 1529 15
10 3760 16
421 3510 20
3712 1248 11
1653 2274 17
3337 2332 18
3894 302 19
2263 1211 8
1409 3609 8
168 562 5
3118 1551 13
246 2196 18
3886 2172 8
3633 3275 11
1960 1282 6
1316 1762 12
1010 2990 9
806 3877 19
1330 3393 15
1308 3822 18
3303 1466 6
3663 3540 14
1883 973 15
2054 3617 13
1680 1688 11
167 3094 18
2866 2585 15
2706 3429 10
2101 3796 8
1072 352 15
2274 1362 19
324 1495 6
2316 2180 5
3397 2148 8
1707 3335 9
164 2139 6
593 55 19
3759 1130 6
659 1261 13
2957 1238 8
1970 2305 8
919 1351 9
3395 1206 9
502 414 10
3079 252 17
1125 2340 15
3207 23 12
2113 1074 9
957 2654 5
540 3046 11
2498 224 8
1523 742 8
956 2787 12
262 3527 11
3174 935 19
1029 2121 10
2788 617 8
3625 3047 16
2940 242 5
1734 2587 16
480 359 5
1445 3450 20
2890 2176 20
3761 1598 8
2746 3625 7
1615 595 11
2472 3483 6
3376 2063 15
1928 1335 11
2243 1200 13
3913 3930 15
800 448 19
2798 1184 8
2061 2881 18
1840 75 17
2181 3015 18
3722 43 8
2023 880 10
2964 3818 10
2319 1467 17
3862 2189 5
3451 874 14
2030 1921 15
3133 433 13
3890 2402 5
735 3632 18
213 3686 11
3178 3654 12
1095 513 11
499 772 12
3795 1306 16
292 506 6
3475 3327 20
3828 2522 15
3796 526 8
2275 1329 6
1533 823 10
2871 1275 11
455 3180 6
1666 2497 16
138 2638 12
3243 265 7
1717 2311 14
1767 1722 15
1260 1006 10
2443 959 7
3550 1842 17
1323 889 11
2416 857 16
965 1769 11
713 733 14
2954 2521 12
477 1090 13
2658 613 12
2392 3168 8
61 990 14
488 2113 11
2790 2030 17
1469 1085 15
1402 2701 16
2978 1289 10
25 1957 15
3333 285 14
553 2883 20
1226 727 11
2619 169 12
554 657 5
1253 329 19
1583 3321 15
1688 2250 17
835 1885 14
1027 2871 19
667 1489 9
1624 3555 17
3136 3852 19
3170 2278 14
223 1934 19
3110 2946 14
1957 3761 8
1251 2344 7
2697 3210 9
1020 3387 8
2701 1512 7
2756 2917 5
2296 3399 20
2328 1272 17
1049 1558 10
1324 2675 12
48 564 16
184 2719 11
2247 56 5
1730 2384 20
413 2679 5
3641 2628 17
774 2159 6
2095 2371 17
422 197 11
2732 1751 14
946 872 12
2384 3113 16
799 2429 20
1032 710 14
2694 125 7
978 936 17
1048 2622 6
2632 3178 10
2060 2852 11
3700 237 19
1639 1552 18
3767 640 20
2444 3811 16
2982 3365 16
1030 2406 9
2395 2594 14
2172 2239 7
3819 947 10
2288 986 9
3615 664 14
1987 1183 14
947 1414 9
3230 2603 7
2033 1127 8
3000 361 18
1818 3878 6
1983 1080 15
1213 1463 10
3577 2722 15
3385 1018 18
3821 2655 19
1606 667 6
719 2632 14
1855 113 19
1864 1231 9
3729 2285 5
2056 1123 10
779 914 16
1124 1107 14
486 2956 11
1129 1326 15
3377 2298 14
408 95 19
3804 220 12
3715 3502 9
172 476 8
1017 967 16
2564 2416 20
918 1219 14
2942 1333 18
3092 2299 9
175 2730 6
1592 885 13
1997 365 10
2841 3208 6
1275 719 5
3801 3820 18
1810 1408 11
3191 2053 9
3588 2969 9
2699 1444 9
271 1454 15
893 807 11
2383 3499 5
2081 2333 16
571 1876 5
3365 3758 20
2014 256 16
1878 3279 8
3521 1647 17
3647 3151 11
981 809 19
816 422 13
3643 1407 18
3614 1970 16
1690 39 13
1948 2511 12
695 3815 7
2736 443 41
1470 2536 12
597 1035 8
872 1253 12
645 1492 11
610 2752 13
1083 1713 18
425 3518 8
753 1823 14
3144 2834 5
2612 479 9
3295 1952 19
703 3272 8
1951 293 9
3050 1168 6
3533 3369 16
1998 671 19
1153 2950 17
3681 2900 18
1477 3604 19
3721 3207 19
2465 3265 15
217 3108 16
611 3297 14
1541 626 8
921 2405 11
2625 91 5
3591 750 17
2037 1083 17
2961 866 17
1715 2886 17
2882 3610 5
509 1733 13
2248 2703 8
2362 3639 10
2138 2767 20
3318 3908 12
1061 1794 6
1136 3492 9
2124 366 6
2801 3855 7
1515 1900 18
1418 1642 6
3850 217 15
3793 1396 8
1498 744 10
2408 1149 9
2256 2385 6
2501 3037 20
3910 2170 14
2547 3280 8
2402 2814 16
26 1401 12
45 3932 15
3434 966 13
391 3347 11
2892 288 11
1111 3440 20
331 3418 12
3173 3322 13
3108 412 18
1942 1917 8
230 64 19
3792 918 15
1468 2976 17
3354 3448 9
479 716 11
3072 2766 13
3467 2027 7
2369 3102 13
2332 2216 10
249 3674 16
3927 283 6
1568 3866 12
2464 111 15
2847 1757 18
2685 2706 17
2163 651 18
2059 2031 14
1365 3533 7
1598 1166 14
322 3666 14
2309 3916 18
3705 2959 6
378 1920 9
3450 1536 11
1755 3084 5
1524 2965 7
320 824 14
2869 4 11
1075 214 6
2011 3284 7
131 209 17
40 3411 16
1248 1712 15
2723 1393 14
439 1696 5
2675 1961 10
2670 3238 15
2629 27 10
3481 1226 16
3874 3232 11
2136 1274 5
14 2991 14
2914 2541 8
3331 1803 18
1379 3550 11
2606 3749 13
818 3897 12
884 1965 14
3844 1741 10
2449 3605 6
2486 1828 6
2334 2228 12
2985 316 11
937 1610 13
3402 1913 5
298 2387 15
237 1982 17
836 88 16
775 522 6
2001 1901 5
1861 62 13
130 2905 14
770 2004 5
769 3552 7
3233 2501 17
2211 152 14
2819 409 17
2439 706 17
1004 2235 6
3742 2456 20
2268 622 15
1471 1778 10
2683 1436 20
2397 1419 8
113 2903 17
385 3437 8
1974 1313 10
1607 3701 11
2354 1599 11
2959 1472 10
2710 3517 7
441 3002 19
3517 115 14
1738 2559 12
2744 1040 11
3549 1680 20
1483 700 7
967 2227 20
2682 2725 19
2467 916 11
1874 3896 19
1338 3613 74093
1349 1843 8
993 2336 9
3047 269 6
1613 1653 17
370 1663 10
2937 2687 6
2609 2482 20
3219 3096 19
714 3063 8
1511 983 6
1046 598 10
3763 725 16
3005 1973 13
1567 883 9
3929 1143 13
2167 3114 15
2793 634 18
3160 3684 8
841 1189 18
1380 980 10
3809 478 10
417 1458 18
3165 1669 14
1463 105 20
3209 2462 17
3328 2551 7
16 3859 7
462 3199 20
3145 3012 19
1835 339 17
2633 3792 9
337 33 15
637 3680 8
3920 2498 6
2304 2780 17
1287 3143 20
296 3547 20
2905 3197 13
2461 3719 19
2313 447 19
1193 300 16
2545 427 5
1320 2206 8
2555 2656 16
2558 3354 20
1079 573 18
2822 3080 8
1035 2926 11
2053 1237 19
1703 2504 7
556 707 5
2515 2301 5
1059 649 11
2893 2669 10
427 480 18
312 2339 18
2652 2386 18
3107 31 15
581 1146 18
966 2928 19
2100 2353 9
905 2303 11
1245 1784 12
1277 2411 5
2672 406 8
2852 2851 15
2669 102 6
161 3893 15
1678 2397 6
1712 3511 7
1003 2062 8
379 392 8
3875 1995 17
2180 1532 19
2668 1367 18
797 3373 15
3861 3700 7
897 548 7
2953 1941 9
2232 2120 14
2352 3557 12
3091 2356 16
316 762 5
3772 261 7
2848 3298 6
2896 1963 15
2984 3173 14
382 2975 17
825 2816 18
3777 1198 9
3400 2364 12
335 72 18
842 235 11
1932 357 18
3893 3858 12
3493 3270 19
2050 781 10
3163 1807 7
2714 1783 16
3384 2029 11
2504 326 12
266 3301 13
630 1152 13
991 3085 12
537 521 18
99 3728 18
798 1145 17
3612 3624 11
2187 1499 14
2016 2693 10
2628 2662 6
875 2026 13
450 1301 14
1086 2875 16
1581 2040 11
1512 1201 16
1293 1113 17
915 2450 6
2825 416 8
1896 577 13
1888 1280 17
2864 1476 12
171 810 14
930 2417 11
1037 508 16
3276 1853 18
355 1548 15
404 2291 19
41 2999 17
3573 333 18
1497 1969 18
1345 668 14
1876 2665 16
3568 2270 15
2273 2583 15
3154 3269 14
1223 811 12
2370 3879 7
3062 1707 17
189 961 9
520 1154 6
162 3340 20
3497 405 18
2331 2600 19
2405 1034 5
1465 1081 6
107 2329 19
887 1517 15
1843 2487 18
1434 2208 5
1886 426 9
3676 597 17
2102 495 13
1155 1016 17
1729 2692 6
3043 2433 20
506 2281 12
3902 2194 10
2638 2494 5
979 1052 19
2242 477 8
209 1031 10
3650 313 7
3203 1138 12
1625 958 20
2252 3258 6
2792 2201 10
3606 1972 20
191 2966 13
3137 324 5
3458 123 19
76 2695 14
2091 2104 16
3852 693 20
2734 1861 18
3195 3228 15
3181 465 10
1752 1654 11
2567 503 8
2478 2436 10
3308 2955 9
709 3041 20
3546 2119 7
2207 1738 12
369 3410 9
2976 2527 14
3911 1929 13
866 1103 14
3491 331 14
1312 3585 6
1268 3377 9
3416 490 9
2337 1485 17
3840 3259 13
2500 1263 18
2458 646 6
3225 2058 17
2120 2218 15
3529 2263 16
2140 3309 9
2902 195 20
1553 1775 19
2496 2699 8
1811 1591 10
1724 3391 19
715 3439 7
2105 2251 6
2736 97 9
1066 375 19
143 1530 20
832 3724 9
2718 14 18
1165 3398 19
1089 1182 10
701 814 15
2179 3539 9
2089 238 16
594 1290 19
3708 2317 16
656 3789 8
1264 2885 6
3794 933 9
2254 3787 11
1558 3516 24
1454 3244 19
3159 1916 13
1563 656 20
1858 1555 11
745 625 6
2873 3880 19
3670 2904 9
3741 189 18
2142 1099 5
481 1109 6
1217 37 15
2949 2076 7
3086 3912 19
1937 588 15
128 1546 12
153 451 19
1809 2918 5
1926 1439 16
3398 2010 10
1602 3746 19
2677 3103 8
583 1667 9
2044 3486 5
1353 1721 15
2673 3697 15
3725 2921 17
496 3175 10
1660 311 16
344 1208 5
1683 834 9
566 2130 18
474 2908 14
2189 3043 9
1618 273 15
3931 1352 17
1714 2843 78779
3317 2036 7
2846 977 16
1849 627 12
234 960 15
3827 2849 8
2156 3505 13
2748 1991 13
1946 2161 12
2227 3405 20
3620 204 7
2527 1268 15
1397 229 10
982 1372 8
1206 1947 20
865 2158 6
1495 951 20
3683 6 8
1303 3100 18
484 89 14
1119 2500 12
2121 2045 6
2178 1845 8
1284 1410 11
2580 1420 14
2975 580 13
710 2052 7
1346 543 7
3858 2140 17
2859 1730 18
912 2595 12
674 3118 15
3542 1391 18
913 2601 16
2482 2683 9
1428 2084 17
3569 3708 13
3082 511 15
3933 419 9
351 2017 16
3834 1608 8
787 3166 10
1756 2000 14
3151 1646 9
1658 1266 15
1036 2694 16
3690 3532 13
1444 3795 14
3855 1144 18
2751 342 7
1765 1641 16
95 2183 9
2452 1195 14
492 3066 14
179 3513 14
2427 2415 19
1464 1786 15
3457 2754 7
1288 243 13
3688 2419 11
2440 681 7
2421 2398 6
2483 505 19
3507 1870 18
170 952 14
1427 2320 16
1965 492 10
2215 2777 19
1040 1644 19
1007 2441 14
2779 819 5
383 3090 11
55 2615 16
3453 3231 6
742 770 19
261 3295 8
35 1825 12
3196 2714 9
1601 2768 17
971 2623 13
1609 393 10
3193 84 12
2879 410 7
2861 3658 10
1104 736 14
1822 3935 18
2719 3431 11
3799 1241 5
1462 767 16
3277 2319 9
69 944 13
204 7 12
1449 502 19
523 1075 5
3064 459 20
336 527 8
1964 2734 6
309 2132 16
92 231 14
259 1337 12
2721 3692 9
1410 2764 16
3315 2177 17
2426 1524 11
2106 1084 16
863 537 13
2135 2394 17
1367 1997 9
928 3443 7
651 2073 20
3877 1639 12
2015 1358 17
3882 1311 17
670 534 19
2898 1774 7
685 1802 9
1595 3498 14
830 581 18
3787 2234 16
2509 425 8
2473 2865 20
2371 2466 15
1847 2345 5
2063 2716 13
280 1854 10
2660 163 15
796 602 6
1220 2584 12
1726 755 20
2900 1930 5
384 2390 7
3258 2203 12
1281 2796 16
1339 450 19
2499 193 18
2687 1432 13
2155 2347 20
1643 1368 14
2233 3042 14
1179 2964 19
3854 1624 9
2415 2488 5
2581 672 7
348 3125 13
3325 3838 6
398 2596 11
600 3038 18
3560 3755 17
1884 850 7
2166 2546 5
3226 3051 20
2487 219 16
3856 79 16
1450 1671 9
2525 3869 16
211 254 19
3455 797 11
2364 3053 16
3811 2884 19
3252 2493 12
3512 1620 12
2622 2645 17
29 2696 10
2171 1443 17
1802 1835 13
2781 116 12
3028 2403 18
889 2567 20
3387 915 10
902 356 14
1305 2237 16
2088 1023 10
165 1677 11
3616 1908 9
2357 1735 13
1063 663 8
3301 2770 16
1528 3213 17
2960 1017 12
1958 2184 6
751 3205 18
2062 3802 14
2169 3060 7
3465 701 12
1326 207 9
3879 1041 17
755 3126 10
2128 2785 18
1868 3779 7
194 1988 5
3508 3714 7
1831 424 5
2417 2460 20
2455 1459 19
632 2025 6
1375 2381 11
475 1480 9
2244 2513 6
3698 3572 5
51 2552 5
953 2986 5
869 520 10
1024 2151 12
0 1773 11
2586 1953 19
2353 2853 5
3033 728 7
1778 2726 16
1941 3176 18
1043 2612 20
2916 1519 12
2715 3000 7
1638 1251 19
3743 1922 12
3172 2127 20
3161 3608 8
2935 844 13
1616 2168 19
2164 917 9
721 3660 20
1632 2539 9
1798 127 13
400 1617 13
2863 3925 9
1044 552 19
2569 3190 11
2524 367 11
3227 1816 17
2908 1254 19
456 1613 10
528 940 17
2025 845 16
3284 3403 6
579 1909 13
2073 297 14
3695 1212 8
1272 1523 10
3266 36 8
3574 2749 15
2488 1086 20
2512 1813 15
3238 1424 17
2246 1164 11
607 2252 7
3011 1838 9
1186 2745 19
575 1441 8
2824 2721 6
1307 2006 10
2903 3138 16
2595 3840 13
3937 666 12
3312 3907 7
2111 703 5
3488 3711 18
833 637 7
1664 3255 5
851 3430 14
2592 141 10
3272 892 14
3262 1540 11
2803 3392 5
3414 2833 15
3358 3372 7
2772 3124 20
2797 1685 13
3651 2105 14
2173 882 17
782 2355 19
541 379 19
1002 1553 17
1493 758 9
2132 2524 6
1999 1304 14
1560 3201 19
28 320 14
1961 948 6
2728 3678 16
214 3688 16
3532 3579 8
2258 3185 6
1919 3882 14
3504 3690 11
2698 3287 8
65 3024 6
517 2667 15
1273 779 13
2293 2334 7
2276 1655 15
1669 1931 20
698 858 10
614 555 19
972 691 17
2549 94 13
1108 2275 7
268 287 10
2834 1583 10
736 3541 12
1859 3441 9
1361 3923 15
1698 2657 18
1222 1596 15
2913 1097 20
2614 413 11
1619 1874 6
1642 1569 5
3830 981 14
2266 2901 5
3869 3215 17
1990 734 9
599 121 13
2396 437 19
2093 1933 8
3253 3497 15
861 1207 5
3231 1371 16
1733 720 7
647 3462 19
156 3836 11
3241 3325 15
785 2769 14
